ratioD	ratio_off_off
88.88	11.29
66.66	3.22
100.00	24.19
100.00	24.19
100.00	24.19
100.00	22.58
66.66	3.22
100.00	24.19
100.00	24.19
100.00	24.19
100.00	22.58
66.66	3.22
100.00	25.80
100.00	25.80
88.88	16.12
88.88	11.29
66.66	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
66.66	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
66.66	3.22
100.00	25.80
100.00	25.80
88.88	16.12
88.88	11.29
66.66	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
66.66	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
66.66	3.22
100.00	25.80
100.00	25.80
88.88	16.12
88.88	11.29
66.66	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
66.66	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
66.66	3.22
88.88	14.51
88.88	14.51
88.88	14.51
88.88	11.29
66.66	3.22
100.00	24.19
100.00	24.19
100.00	24.19
100.00	22.58
66.66	3.22
100.00	24.19
100.00	24.19
100.00	24.19
100.00	22.58
66.66	3.22
88.88	16.12
88.88	16.12
88.88	16.12
88.88	11.29
66.66	3.22
100.00	29.03
100.00	29.03
100.00	29.03
100.00	27.41
66.66	3.22
100.00	29.03
100.00	29.03
100.00	29.03
100.00	27.41
66.66	3.22
88.88	16.12
88.88	16.12
88.88	16.12
88.88	11.29
66.66	3.22
100.00	29.03
100.00	29.03
100.00	29.03
100.00	27.41
66.66	3.22
100.00	29.03
100.00	29.03
100.00	29.03
100.00	27.41
66.66	3.22
88.88	16.12
88.88	16.12
88.88	16.12
88.88	11.29
66.66	3.22
100.00	29.03
100.00	29.03
100.00	29.03
100.00	27.41
66.66	3.22
100.00	29.03
100.00	29.03
100.00	29.03
100.00	27.41
66.66	3.22
